section	key	probe	lon	lat
PAIR	t03/epsg:4007>epsg:20022	0	0x0.0p0	0x0.0p0
PAIR	t03/epsg:4007>epsg:20022	1	-0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4007>epsg:20022	2	0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4007>epsg:20022	3	-0x1.4p2	0x1.4p2
PAIR	t03/epsg:4007>epsg:20022	4	0x1.4p2	0x1.4p2
PAIR	t03/epsg:4014>epsg:20066	0	0x0.0p0	0x0.0p0
PAIR	t03/epsg:4014>epsg:20066	1	-0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4014>epsg:20066	2	0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4014>epsg:20066	3	-0x1.4p2	0x1.4p2
PAIR	t03/epsg:4014>epsg:20066	4	0x1.4p2	0x1.4p2
PAIR	t03/epsg:4024>epsg:20079	0	0x0.0p0	0x0.0p0
PAIR	t03/epsg:4024>epsg:20079	1	-0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4024>epsg:20079	2	0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4024>epsg:20079	3	-0x1.4p2	0x1.4p2
PAIR	t03/epsg:4024>epsg:20079	4	0x1.4p2	0x1.4p2
PAIR	t03/epsg:4034>epsg:20092	0	0x0.0p0	0x0.0p0
PAIR	t03/epsg:4034>epsg:20092	1	-0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4034>epsg:20092	2	0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4034>epsg:20092	3	-0x1.4p2	0x1.4p2
PAIR	t03/epsg:4034>epsg:20092	4	0x1.4p2	0x1.4p2
PAIR	t03/epsg:4045>epsg:2094	0	0x0.0p0	0x0.0p0
PAIR	t03/epsg:4045>epsg:2094	1	-0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4045>epsg:2094	2	0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4045>epsg:2094	3	-0x1.4p2	0x1.4p2
PAIR	t03/epsg:4045>epsg:2094	4	0x1.4p2	0x1.4p2
PAIR	t03/epsg:4128>epsg:2392	0	0x0.0p0	0x0.0p0
PAIR	t03/epsg:4128>epsg:2392	1	-0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4128>epsg:2392	2	0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4128>epsg:2392	3	-0x1.4p2	0x1.4p2
PAIR	t03/epsg:4128>epsg:2392	4	0x1.4p2	0x1.4p2
PAIR	t03/epsg:4174>epsg:2468	0	0x0.0p0	0x0.0p0
PAIR	t03/epsg:4174>epsg:2468	1	-0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4174>epsg:2468	2	0x1.4p2	-0x1.4p2
PAIR	t03/epsg:4174>epsg:2468	3	-0x1.4p2	0x1.4p2
PAIR	t03/epsg:4174>epsg:2468	4	0x1.4p2	0x1.4p2
PAIR	t04/epsg:3821>epsg:26703	0	0x0.0p0	0x0.0p0
PAIR	t04/epsg:3821>epsg:26703	1	-0x1.4p2	-0x1.4p2
PAIR	t04/epsg:3821>epsg:26703	2	0x1.4p2	-0x1.4p2
PAIR	t04/epsg:3821>epsg:26703	3	-0x1.4p2	0x1.4p2
PAIR	t04/epsg:3821>epsg:26703	4	0x1.4p2	0x1.4p2
PAIR	t04/epsg:4007>epsg:26716	0	0x0.0p0	0x0.0p0
PAIR	t04/epsg:4007>epsg:26716	1	-0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4007>epsg:26716	2	0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4007>epsg:26716	3	-0x1.4p2	0x1.4p2
PAIR	t04/epsg:4007>epsg:26716	4	0x1.4p2	0x1.4p2
PAIR	t04/epsg:4014>epsg:26735	0	0x0.0p0	0x0.0p0
PAIR	t04/epsg:4014>epsg:26735	1	-0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4014>epsg:26735	2	0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4014>epsg:26735	3	-0x1.4p2	0x1.4p2
PAIR	t04/epsg:4014>epsg:26735	4	0x1.4p2	0x1.4p2
PAIR	t04/epsg:4024>epsg:26748	0	0x0.0p0	0x0.0p0
PAIR	t04/epsg:4024>epsg:26748	1	-0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4024>epsg:26748	2	0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4024>epsg:26748	3	-0x1.4p2	0x1.4p2
PAIR	t04/epsg:4024>epsg:26748	4	0x1.4p2	0x1.4p2
PAIR	t04/epsg:4034>epsg:26766	0	0x0.0p0	0x0.0p0
PAIR	t04/epsg:4034>epsg:26766	1	-0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4034>epsg:26766	2	0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4034>epsg:26766	3	-0x1.4p2	0x1.4p2
PAIR	t04/epsg:4034>epsg:26766	4	0x1.4p2	0x1.4p2
PAIR	t04/epsg:4045>epsg:26779	0	0x0.0p0	0x0.0p0
PAIR	t04/epsg:4045>epsg:26779	1	-0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4045>epsg:26779	2	0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4045>epsg:26779	3	-0x1.4p2	0x1.4p2
PAIR	t04/epsg:4045>epsg:26779	4	0x1.4p2	0x1.4p2
PAIR	t04/epsg:4128>epsg:26795	0	0x0.0p0	0x0.0p0
PAIR	t04/epsg:4128>epsg:26795	1	-0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4128>epsg:26795	2	0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4128>epsg:26795	3	-0x1.4p2	0x1.4p2
PAIR	t04/epsg:4128>epsg:26795	4	0x1.4p2	0x1.4p2
PAIR	t04/epsg:4174>epsg:32007	0	0x0.0p0	0x0.0p0
PAIR	t04/epsg:4174>epsg:32007	1	-0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4174>epsg:32007	2	0x1.4p2	-0x1.4p2
PAIR	t04/epsg:4174>epsg:32007	3	-0x1.4p2	0x1.4p2
PAIR	t04/epsg:4174>epsg:32007	4	0x1.4p2	0x1.4p2
PAIR	t10/epsg:3824>epsg:2012	0	0x0.0p0	0x0.0p0
PAIR	t10/epsg:3824>epsg:2012	1	-0x1.4p2	-0x1.4p2
PAIR	t10/epsg:3824>epsg:2012	2	0x1.4p2	-0x1.4p2
PAIR	t10/epsg:3824>epsg:2012	3	-0x1.4p2	0x1.4p2
PAIR	t10/epsg:3824>epsg:2012	4	0x1.4p2	0x1.4p2
PAIR	t10/epsg:4075>epsg:2025	0	0x0.0p0	0x0.0p0
PAIR	t10/epsg:4075>epsg:2025	1	-0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4075>epsg:2025	2	0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4075>epsg:2025	3	-0x1.4p2	0x1.4p2
PAIR	t10/epsg:4075>epsg:2025	4	0x1.4p2	0x1.4p2
PAIR	t10/epsg:4152>epsg:2081	0	0x0.0p0	0x0.0p0
PAIR	t10/epsg:4152>epsg:2081	1	-0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4152>epsg:2081	2	0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4152>epsg:2081	3	-0x1.4p2	0x1.4p2
PAIR	t10/epsg:4152>epsg:2081	4	0x1.4p2	0x1.4p2
PAIR	t10/epsg:4173>epsg:2163	0	0x0.0p0	0x0.0p0
PAIR	t10/epsg:4173>epsg:2163	1	-0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4173>epsg:2163	2	0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4173>epsg:2163	3	-0x1.4p2	0x1.4p2
PAIR	t10/epsg:4173>epsg:2163	4	0x1.4p2	0x1.4p2
PAIR	t10/epsg:4283>epsg:2328	0	0x0.0p0	0x0.0p0
PAIR	t10/epsg:4283>epsg:2328	1	-0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4283>epsg:2328	2	0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4283>epsg:2328	3	-0x1.4p2	0x1.4p2
PAIR	t10/epsg:4283>epsg:2328	4	0x1.4p2	0x1.4p2
PAIR	t10/epsg:4617>epsg:2341	0	0x0.0p0	0x0.0p0
PAIR	t10/epsg:4617>epsg:2341	1	-0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4617>epsg:2341	2	0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4617>epsg:2341	3	-0x1.4p2	0x1.4p2
PAIR	t10/epsg:4617>epsg:2341	4	0x1.4p2	0x1.4p2
PAIR	t10/epsg:4667>epsg:2353	0	0x0.0p0	0x0.0p0
PAIR	t10/epsg:4667>epsg:2353	1	-0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4667>epsg:2353	2	0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4667>epsg:2353	3	-0x1.4p2	0x1.4p2
PAIR	t10/epsg:4667>epsg:2353	4	0x1.4p2	0x1.4p2
PAIR	t10/epsg:4737>epsg:2366	0	0x0.0p0	0x0.0p0
PAIR	t10/epsg:4737>epsg:2366	1	-0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4737>epsg:2366	2	0x1.4p2	-0x1.4p2
PAIR	t10/epsg:4737>epsg:2366	3	-0x1.4p2	0x1.4p2
PAIR	t10/epsg:4737>epsg:2366	4	0x1.4p2	0x1.4p2
PAIR	t11/epsg:3824>epsg:2048	0	0x0.0p0	0x0.0p0
PAIR	t11/epsg:3824>epsg:2048	1	-0x1.4p2	-0x1.4p2
PAIR	t11/epsg:3824>epsg:2048	2	0x1.4p2	-0x1.4p2
PAIR	t11/epsg:3824>epsg:2048	3	-0x1.4p2	0x1.4p2
PAIR	t11/epsg:3824>epsg:2048	4	0x1.4p2	0x1.4p2
PAIR	t11/epsg:4075>epsg:2108	0	0x0.0p0	0x0.0p0
PAIR	t11/epsg:4075>epsg:2108	1	-0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4075>epsg:2108	2	0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4075>epsg:2108	3	-0x1.4p2	0x1.4p2
PAIR	t11/epsg:4075>epsg:2108	4	0x1.4p2	0x1.4p2
PAIR	t11/epsg:4152>epsg:2121	0	0x0.0p0	0x0.0p0
PAIR	t11/epsg:4152>epsg:2121	1	-0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4152>epsg:2121	2	0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4152>epsg:2121	3	-0x1.4p2	0x1.4p2
PAIR	t11/epsg:4152>epsg:2121	4	0x1.4p2	0x1.4p2
PAIR	t11/epsg:4173>epsg:2134	0	0x0.0p0	0x0.0p0
PAIR	t11/epsg:4173>epsg:2134	1	-0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4173>epsg:2134	2	0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4173>epsg:2134	3	-0x1.4p2	0x1.4p2
PAIR	t11/epsg:4173>epsg:2134	4	0x1.4p2	0x1.4p2
PAIR	t11/epsg:4283>epsg:2150	0	0x0.0p0	0x0.0p0
PAIR	t11/epsg:4283>epsg:2150	1	-0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4283>epsg:2150	2	0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4283>epsg:2150	3	-0x1.4p2	0x1.4p2
PAIR	t11/epsg:4283>epsg:2150	4	0x1.4p2	0x1.4p2
PAIR	t11/epsg:4617>epsg:2193	0	0x0.0p0	0x0.0p0
PAIR	t11/epsg:4617>epsg:2193	1	-0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4617>epsg:2193	2	0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4617>epsg:2193	3	-0x1.4p2	0x1.4p2
PAIR	t11/epsg:4617>epsg:2193	4	0x1.4p2	0x1.4p2
PAIR	t11/epsg:4667>epsg:22174	0	0x0.0p0	0x0.0p0
PAIR	t11/epsg:4667>epsg:22174	1	-0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4667>epsg:22174	2	0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4667>epsg:22174	3	-0x1.4p2	0x1.4p2
PAIR	t11/epsg:4667>epsg:22174	4	0x1.4p2	0x1.4p2
PAIR	t11/epsg:4737>epsg:2224	0	0x0.0p0	0x0.0p0
PAIR	t11/epsg:4737>epsg:2224	1	-0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4737>epsg:2224	2	0x1.4p2	-0x1.4p2
PAIR	t11/epsg:4737>epsg:2224	3	-0x1.4p2	0x1.4p2
PAIR	t11/epsg:4737>epsg:2224	4	0x1.4p2	0x1.4p2
PAIR	t12/epsg:3824>epsg:2006	0	0x0.0p0	0x0.0p0
PAIR	t12/epsg:3824>epsg:2006	1	-0x1.4p2	-0x1.4p2
PAIR	t12/epsg:3824>epsg:2006	2	0x1.4p2	-0x1.4p2
PAIR	t12/epsg:3824>epsg:2006	3	-0x1.4p2	0x1.4p2
PAIR	t12/epsg:3824>epsg:2006	4	0x1.4p2	0x1.4p2
PAIR	t12/epsg:4075>epsg:20355	0	0x0.0p0	0x0.0p0
PAIR	t12/epsg:4075>epsg:20355	1	-0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4075>epsg:20355	2	0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4075>epsg:20355	3	-0x1.4p2	0x1.4p2
PAIR	t12/epsg:4075>epsg:20355	4	0x1.4p2	0x1.4p2
PAIR	t12/epsg:4152>epsg:2044	0	0x0.0p0	0x0.0p0
PAIR	t12/epsg:4152>epsg:2044	1	-0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4152>epsg:2044	2	0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4152>epsg:2044	3	-0x1.4p2	0x1.4p2
PAIR	t12/epsg:4152>epsg:2044	4	0x1.4p2	0x1.4p2
PAIR	t12/epsg:4173>epsg:2064	0	0x0.0p0	0x0.0p0
PAIR	t12/epsg:4173>epsg:2064	1	-0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4173>epsg:2064	2	0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4173>epsg:2064	3	-0x1.4p2	0x1.4p2
PAIR	t12/epsg:4173>epsg:2064	4	0x1.4p2	0x1.4p2
PAIR	t12/epsg:4283>epsg:2079	0	0x0.0p0	0x0.0p0
PAIR	t12/epsg:4283>epsg:2079	1	-0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4283>epsg:2079	2	0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4283>epsg:2079	3	-0x1.4p2	0x1.4p2
PAIR	t12/epsg:4283>epsg:2079	4	0x1.4p2	0x1.4p2
PAIR	t12/epsg:4617>epsg:2092	0	0x0.0p0	0x0.0p0
PAIR	t12/epsg:4617>epsg:2092	1	-0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4617>epsg:2092	2	0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4617>epsg:2092	3	-0x1.4p2	0x1.4p2
PAIR	t12/epsg:4617>epsg:2092	4	0x1.4p2	0x1.4p2
PAIR	t12/epsg:4667>epsg:21100	0	0x0.0p0	0x0.0p0
PAIR	t12/epsg:4667>epsg:21100	1	-0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4667>epsg:21100	2	0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4667>epsg:21100	3	-0x1.4p2	0x1.4p2
PAIR	t12/epsg:4667>epsg:21100	4	0x1.4p2	0x1.4p2
PAIR	t12/epsg:4737>epsg:21418	0	0x0.0p0	0x0.0p0
PAIR	t12/epsg:4737>epsg:21418	1	-0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4737>epsg:21418	2	0x1.4p2	-0x1.4p2
PAIR	t12/epsg:4737>epsg:21418	3	-0x1.4p2	0x1.4p2
PAIR	t12/epsg:4737>epsg:21418	4	0x1.4p2	0x1.4p2
PAIR	t13/epsg:3824>epsg:20009	0	0x0.0p0	0x0.0p0
PAIR	t13/epsg:3824>epsg:20009	1	-0x1.4p2	-0x1.4p2
PAIR	t13/epsg:3824>epsg:20009	2	0x1.4p2	-0x1.4p2
PAIR	t13/epsg:3824>epsg:20009	3	-0x1.4p2	0x1.4p2
PAIR	t13/epsg:3824>epsg:20009	4	0x1.4p2	0x1.4p2
PAIR	t13/epsg:4075>epsg:20022	0	0x0.0p0	0x0.0p0
PAIR	t13/epsg:4075>epsg:20022	1	-0x1.4p2	-0x1.4p2
PAIR	t13/epsg:4075>epsg:20022	2	0x1.4p2	-0x1.4p2
PAIR	t13/epsg:4075>epsg:20022	3	-0x1.4p2	0x1.4p2
PAIR	t13/epsg:4075>epsg:20022	4	0x1.4p2	0x1.4p2
PAIR	t13/epsg:4152>epsg:20066	0	0x0.0p0	0x0.0p0
PAIR	t13/epsg:4152>epsg:20066	1	-0x1.4p2	-0x1.4p2
PAIR	t13/epsg:4152>epsg:20066	2	0x1.4p2	-0x1.4p2
PAIR	t13/epsg:4152>epsg:20066	3	-0x1.4p2	0x1.4p2
PAIR	t13/epsg:4152>epsg:20066	4	0x1.4p2	0x1.4p2
PAIR	t13/epsg:4173>epsg:20079	0	0x0.0p0	0x0.0p0
PAIR	t13/epsg:4173>epsg:20079	1	-0x1.4p2	-0x1.4p2
PAIR	t13/epsg:4173>epsg:20079	2	0x1.4p2	-0x1.4p2
PAIR	t13/epsg:4173>epsg:20079	3	-0x1.4p2	0x1.4p2
PAIR	t13/epsg:4173>epsg:20079	4	0x1.4p2	0x1.4p2
PAIR	t13/epsg:4283>epsg:20092	0	0x0.0p0	0x0.0p0
PAIR	t13/epsg:4283>epsg:20092	1	-0x1.4p2	-0x1.4p2
